dc, Greedy, Greedy Opened, R. Greedy, R. Greedy Opened, Xpress, Xpress Opened
250,11,1 2 5 8 9 11 13 14 15 17 18,11,1 2 4 8 9 11 13 14 15 17 18, 11,1 2 3 8 9 11 13 14 15 17 18
251,11,1 2 5 8 9 11 13 14 15 17 18,11,1 2 5 8 9 11 13 14 15 17 21, 11,1 2 3 8 9 11 13 14 15 17 18
252,11,1 2 5 8 9 11 14 15 16 17 18,11,2 8 9 10 11 14 15 16 17 18 22, 11,1 2 3 8 9 11 14 15 16 17 18
253,11,1 2 5 8 9 11 14 15 16 17 18,11,2 8 9 10 11 14 15 16 17 18 22, 11,1 2 3 8 9 11 14 15 16 17 18
254,11,1 2 5 8 9 11 14 15 16 17 18,11,1 2 8 9 11 14 15 16 17 21 22, 11,1 2 3 8 9 11 14 15 16 17 18
255,11,1 2 5 8 9 11 14 15 16 17 18,11,1 2 8 9 11 14 15 16 17 21 22, 11,1 2 3 8 9 11 14 15 16 17 18
256,11,1 2 5 8 9 11 14 15 16 17 18,11,1 2 3 8 9 11 13 14 15 17 21, 11,1 2 3 8 9 11 14 15 16 17 18
257,11,1 2 8 9 11 14 15 16 17 18 22,11,1 2 8 9 11 14 15 16 17 21 22, 11,1 2 3 8 9 11 14 15 16 17 18
258,11,1 2 8 9 11 14 15 16 17 18 22,11,1 2 4 8 9 11 13 14 15 17 21, 11,1 2 3 8 9 11 14 15 16 17 18
259,11,1 2 8 9 11 14 15 16 17 18 22,11,2 8 9 10 11 14 15 16 17 18 22, 11,1 2 3 8 9 11 14 15 16 17 18
260,10,1 2 8 9 11 14 16 17 18 22,10,1 2 4 8 9 11 13 14 17 18, 10,1 2 3 8 9 11 14 16 17 18
261,10,1 2 8 9 11 14 16 17 18 22,10,1 2 3 8 9 11 13 14 17 18, 10,1 2 3 8 9 11 14 16 17 18
262,10,1 2 8 9 11 14 16 17 18 22,10,1 2 7 8 9 11 13 14 17 18, 10,1 2 3 8 9 11 14 16 17 18
263,10,1 2 8 9 11 14 16 17 18 22,10,1 2 3 8 9 11 13 14 17 18, 10,1 2 3 8 9 11 14 16 17 18
264,10,1 2 8 9 11 14 16 17 18 22,10,1 2 4 8 9 11 13 14 17 18, 10,1 2 3 8 9 11 14 16 17 18
265,9,1 2 3 8 9 11 14 17 18,9,1 2 4 8 9 11 14 17 18, 9,1 2 3 8 9 11 14 17 18
266,9,1 2 3 8 9 11 14 17 18,9,1 2 4 8 9 11 14 17 18, 9,1 2 3 8 9 11 14 17 18
267,9,1 2 3 8 9 11 14 17 18,9,1 2 8 9 11 14 17 18 22, 9,1 2 3 8 9 11 14 17 18
268,9,1 2 3 8 9 11 14 17 18,9,1 3 8 9 11 14 15 17 18, 9,1 2 7 8 9 11 14 17 18
269,9,1 2 3 8 9 11 14 17 18,9,1 2 8 9 11 14 17 18 22, 9,1 2 7 8 9 11 14 17 18
270,9,1 2 3 8 9 11 14 17 18,9,1 3 8 9 11 14 15 17 18, 9,1 2 4 8 9 11 14 17 18
271,9,1 2 3 8 9 11 14 17 18,9,1 8 9 11 14 15 17 18 22, 9,1 2 4 8 9 11 14 17 18
272,9,1 2 3 8 9 11 14 17 18,9,1 2 5 8 9 11 14 17 18, 9,1 2 4 8 9 11 14 17 18
273,9,1 2 3 9 11 14 16 17 18,9,4 9 10 11 14 15 16 17 18, 9,1 2 4 9 11 14 16 17 18
274,9,1 2 3 9 11 14 16 17 18,9,1 7 9 11 13 14 15 17 18, 9,1 2 4 9 11 14 16 17 18
275,8,1 2 7 9 11 14 17 18,8,1 2 3 9 11 14 17 18, 8,1 2 5 9 11 14 17 18
276,8,1 2 3 9 11 14 17 18,8,1 2 5 9 11 14 17 18, 8,1 2 5 9 11 14 17 18
277,8,1 2 3 9 11 14 17 18,8,1 2 9 11 14 17 18 22, 8,1 2 5 9 11 14 17 18
278,8,1 2 3 9 11 14 17 18,8,1 5 9 11 14 15 17 18, 8,1 2 5 9 11 14 17 18
279,8,1 2 3 9 11 14 17 18,8,1 9 11 12 14 17 18 22, 8,1 2 5 9 11 14 17 18
280,8,1 2 3 9 11 14 17 18,8,1 3 9 11 12 14 17 20, 8,1 2 5 9 11 14 17 18
281,8,1 2 3 9 11 14 17 18,8,1 2 3 9 11 14 17 18, 8,1 2 5 9 11 14 17 18
282,8,1 2 3 9 11 14 17 18,8,1 2 3 9 11 14 17 18, 8,1 2 7 9 14 17 18 19
283,8,1 2 3 9 11 14 17 18,8,1 4 9 12 14 17 19 21, 8,1 2 7 9 14 17 18 19
284,8,1 2 3 9 11 14 17 18,8,4 9 10 12 14 17 19 21, 8,1 2 7 9 14 17 18 19
285,8,1 2 3 9 11 14 17 18,8,1 3 9 11 12 14 17 21, 8,1 3 9 12 14 17 18 19
286,8,1 2 3 9 11 14 17 18,8,1 5 9 11 12 14 17 18, 8,1 3 9 12 14 17 18 19
287,8,1 2 3 9 11 14 17 18,8,1 9 12 14 17 19 21 22, 8,1 9 12 14 17 18 19 20
288,8,1 2 3 9 11 14 17 18,8,1 9 12 14 17 18 19 22, 8,1 9 12 14 17 18 19 20
289,8,1 2 3 9 11 14 17 18,8,1 9 11 12 14 17 18 20, 8,1 9 12 14 17 18 19 20
290,8,1 2 3 9 11 14 17 18,8,1 3 9 12 14 17 19 20, 8,1 9 12 14 17 18 19 20
291,8,2 3 9 11 14 16 17 18,8,4 9 12 14 16 17 19 21, 8,9 10 12 14 17 18 19 20
292,8,1 2 9 11 14 17 18 22,8,2 9 11 14 16 17 18 20, 8,1 9 11 12 14 17 18 20
293,8,1 2 9 11 14 17 18 20,8,1 9 12 14 17 19 20 22, 8,1 9 11 12 14 17 18 20
294,8,1 2 9 11 14 17 18 20,8,4 9 14 15 16 17 18 19, 8,1 9 11 12 14 17 18 20
295,8,1 2 9 11 14 17 18 22,8,2 9 11 14 16 17 18 20, 8,1 9 11 12 14 17 18 20
296,8,1 2 9 11 14 17 18 22,8,9 11 12 14 16 17 21 22, 8,1 2 9 11 14 17 18 20
297,8,1 2 9 11 14 17 18 22,8,3 9 12 14 16 17 18 19, 8,1 9 11 12 14 17 18 20
298,8,1 2 9 11 14 17 18 22,8,1 9 12 14 17 19 20 22, 8,9 11 12 14 16 17 18 20
299,8,1 2 9 11 14 17 18 22,8,1 4 9 12 14 17 19 21, 8,2 9 11 14 16 17 18 20
300,8,1 2 7 9 11 14 17 18,8,1 2 9 11 14 17 18 20, 8,2 7 9 11 14 16 17 18
301,8,1 2 7 9 11 14 17 18,8,9 14 15 16 17 18 19 21, 8,2 7 9 11 14 16 17 18
302,8,1 2 3 6 11 13 17 18,7,1 3 9 11 12 17 20, 7,2 7 9 11 16 17 18
303,7,1 2 3 9 11 17 18,7,4 9 11 12 16 17 20, 7,2 5 9 11 16 17 18
304,7,1 2 3 9 11 17 18,7,7 9 11 12 16 17 20, 7,2 9 11 13 16 17 18
305,7,1 2 3 9 11 17 18,7,4 9 11 15 16 17 21, 7,2 9 11 13 16 17 18
306,7,1 2 3 9 11 17 18,7,1 4 11 12 13 17 18, 7,2 9 11 13 16 17 18
307,7,1 2 3 9 11 17 18,7,2 9 11 16 17 18 22, 7,2 9 11 13 16 17 18
308,7,1 2 3 9 11 17 18,7,11 12 13 16 17 21 22, 7,2 9 11 13 16 17 18
309,7,1 2 3 9 11 17 18,7,9 11 15 16 17 18 21, 7,2 9 11 13 16 17 18
310,7,1 2 3 9 11 17 18,7,1 2 9 11 17 18 20, 7,9 11 12 13 16 17 18
311,7,1 2 3 9 11 17 18,7,1 11 13 15 17 20 22, 7,2 9 11 13 16 17 18
312,7,1 2 3 9 11 17 18,6,1 2 11 13 17 18, 6,2 11 13 16 17 18
313,7,1 2 3 9 11 17 18,6,1 2 11 13 17 18, 6,2 11 13 16 17 18
314,7,1 2 3 9 11 17 18,6,2 11 13 16 17 18, 6,2 11 13 16 17 18
315,6,2 6 11 13 17 18,6,1 2 11 13 17 18, 6,2 6 9 14 17 21
316,6,2 6 11 13 17 18,6,9 11 12 16 17 18, 6,2 9 11 16 17 18
317,6,2 6 11 13 17 18,6,2 6 11 13 17 18, 6,2 6 11 13 17 18
318,6,2 6 11 13 17 18,6,4 11 12 16 17 21, 6,2 6 11 13 17 18
319,6,2 6 9 11 17 18,6,2 3 11 16 17 18, 6,2 9 11 16 17 18
320,6,2 6 9 11 17 18,5,11 15 16 17 18, 5,2 11 16 17 18
321,6,2 6 9 11 17 18,5,11 15 16 17 18, 5,2 11 16 17 18
322,6,2 6 9 11 17 18,5,11 15 16 17 18, 5,2 11 16 17 18
323,6,2 6 9 11 17 18,5,2 11 16 17 18, 5,2 11 16 17 18
324,6,2 6 9 11 17 18,5,11 12 16 17 18, 5,2 11 16 17 18
325,6,2 3 6 9 17 18,5,11 12 16 17 18, 5,2 11 16 17 18
326,6,2 3 6 9 17 18,5,11 12 16 17 18, 5,2 11 16 17 18
327,6,2 6 9 11 17 18,5,11 15 16 17 18, 5,2 11 16 17 18
328,6,2 6 9 11 17 18,5,2 11 16 17 18, 5,11 12 16 17 18
329,6,2 6 9 11 17 18,5,11 12 16 17 18, 5,11 12 16 17 18
330,6,2 6 9 11 17 18,5,11 15 16 17 18, 5,11 12 16 17 18
331,6,2 6 9 11 17 18,5,2 11 16 17 18, 5,2 11 16 17 18
332,6,2 6 9 11 17 18,5,2 11 16 17 18, 5,2 11 16 17 18
333,6,2 6 9 11 17 18,5,11 15 16 17 18, 5,2 11 16 17 18
334,6,2 6 9 11 17 18,5,11 15 16 17 18, 5,2 11 16 17 18
335,6,2 6 9 11 17 18,5,11 15 16 17 18, 5,2 11 16 17 18
336,6,2 6 9 11 17 18,5,11 15 16 17 18, 5,2 11 16 17 18
337,6,2 6 9 11 17 18,5,11 15 16 17 18, 5,2 11 16 17 18
338,6,2 6 9 11 17 18,5,11 15 16 17 18, 5,2 11 16 17 18
339,6,2 6 9 11 17 18,5,11 15 16 17 18, 5,11 12 16 17 18
340,6,2 6 9 11 17 18,5,11 15 16 17 18, 5,11 12 16 17 18
341,6,2 6 9 11 17 18,5,2 11 16 17 20, 5,11 12 16 17 18
342,5,3 6 9 17 18,4,11 16 17 18, 4,11 16 17 18
343,5,3 6 9 17 18,4,11 16 17 18, 4,11 16 17 18
344,5,3 6 9 17 18,4,11 16 17 18, 4,11 16 17 18
345,5,3 6 9 17 18,4,11 16 17 18, 4,11 16 17 18
346,5,3 6 9 17 18,4,11 16 17 18, 4,11 16 17 18
347,5,3 6 9 17 18,4,11 16 17 18, 4,11 16 17 18
348,5,3 6 9 17 18,4,11 16 17 18, 4,11 16 17 18
349,5,3 6 9 17 18,4,11 16 17 18, 4,11 16 17 18
350,5,1 11 13 17 18,4,11 16 17 18, 4,11 16 17 18
351,5,1 11 13 17 18,4,11 16 17 18, 4,11 16 17 18
352,4,1 11 17 18,4,1 11 17 18, 4,11 16 17 18
353,4,1 11 17 18,4,11 16 17 18, 4,11 16 17 18
354,4,1 11 17 18,4,11 16 17 18, 4,11 16 17 18
355,4,1 11 17 18,4,11 16 17 18, 4,11 16 17 18
356,4,1 11 17 18,4,11 16 17 18, 4,6 11 17 18
357,4,1 11 17 18,4,11 16 17 18, 4,6 11 17 18
358,4,1 11 17 18,4,11 16 17 18, 4,6 11 17 18
359,4,6 11 17 18,4,6 11 17 18, 4,6 11 17 18
360,5,6 8 11 18 20,4,1 8 11 18, 4,6 11 17 18
361,5,6 8 11 18 20,4,6 11 17 18, 4,6 11 17 18
362,5,6 8 11 18 20,4,1 11 17 18, 4,6 11 17 18
363,5,6 8 11 18 20,4,1 8 11 18, 4,6 11 17 18
364,5,6 8 11 18 20,4,6 11 17 18, 4,6 11 17 18
365,5,6 8 11 18 20,4,8 11 16 18, 4,6 11 17 18
366,5,6 8 11 18 20,4,11 16 17 18, 4,6 11 17 18
367,5,6 8 11 18 20,4,11 16 17 18, 4,6 11 17 18
368,5,6 8 11 18 20,4,11 16 17 18, 4,6 11 17 18
369,5,6 8 11 18 20,4,1 11 17 18, 4,6 11 17 18
370,5,6 8 11 18 20,4,6 11 17 18, 4,6 11 17 18
371,5,6 8 11 18 20,4,1 8 11 18, 4,6 11 17 18
372,4,1 8 11 18,4,1 8 11 18, 4,6 11 17 18
373,4,1 8 11 18,4,8 11 16 18, 4,6 11 17 18
374,4,1 8 11 18,4,8 11 16 18, 4,6 11 17 18
375,5,6 8 11 18 20,4,6 11 17 18, 4,6 11 17 18
376,5,6 8 11 18 20,4,6 11 17 18, 4,6 11 17 18
377,4,6 8 11 18,4,1 11 17 18, 4,6 11 17 18
378,4,6 8 11 18,4,6 8 11 18, 4,6 11 17 18
379,4,6 8 11 18,4,11 16 17 18, 4,6 11 17 18
380,4,1 8 11 18,4,8 11 16 18, 4,6 11 17 18
381,4,1 8 11 18,4,6 11 17 18, 4,6 11 17 18
382,4,1 8 11 18,4,8 11 16 18, 4,6 11 17 18
383,4,1 8 11 18,4,8 11 16 18, 4,6 11 17 18
384,4,1 8 11 18,4,1 11 17 18, 4,6 11 17 18
385,4,1 8 11 18,4,11 16 17 18, 4,6 11 17 18
386,4,1 8 11 18,4,1 11 17 18, 4,6 11 17 18
387,4,1 8 11 18,4,8 11 16 18, 4,6 11 17 18
388,4,1 8 11 18,4,11 16 17 18, 4,6 11 17 18
389,4,1 8 11 18,4,1 8 11 18, 4,6 11 17 18
390,4,1 8 11 18,4,6 12 17 22, 4,6 11 17 18
391,4,1 8 11 18,4,6 17 18 22, 4,6 11 17 18
392,4,1 8 11 18,4,6 8 15 22, 4,1 11 17 18
393,4,1 8 11 18,4,8 11 16 18, 4,1 11 17 18
394,4,1 8 11 18,4,1 8 18 22, 4,1 11 17 18
395,4,1 8 11 18,4,11 16 17 18, 4,1 11 17 18
396,4,1 8 11 18,4,8 11 16 18, 4,1 11 17 18
397,4,1 8 11 18,4,1 8 18 22, 4,1 11 17 18
398,4,1 8 11 18,4,8 11 16 18, 4,1 11 17 18
399,4,1 8 11 18,4,1 12 17 22, 4,1 8 11 18
400,4,1 8 11 18,4,6 15 17 22, 4,1 8 11 18
