dc, greedy instalations, greedy opened, random greedy instalations, random greedy opened, xpress instalations, xpress opened
250,8,1 2 4 5 6 9 13 17,8,1 2 4 5 6 9 13 17,8,1 2 4 5 6 9 13 17
251,8,1 2 4 5 6 9 13 17,8,1 2 4 5 6 7 13 17,8,1 2 4 5 6 7 13 17
252,8,1 2 4 5 6 9 13 17,8,1 2 4 5 6 9 13 17,8,1 2 4 5 6 7 13 17
253,8,1 2 4 5 6 9 13 17,8,1 2 4 5 6 9 13 17,8,1 2 4 5 6 9 13 17
254,7,1 2 5 6 7 13 17,7,1 2 6 9 13 15 17,7,1 2 5 6 9 13 17
255,7,1 2 5 6 7 13 17,7,1 2 6 9 13 15 17,7,1 2 5 6 9 13 17
256,7,1 2 5 6 7 13 17,7,1 2 6 9 13 15 17,7,1 2 5 6 9 13 17
257,7,1 2 5 6 7 13 17,7,1 2 5 6 7 13 17,7,1 2 5 6 9 13 17
258,7,1 2 5 6 7 13 17,7,1 2 6 9 13 15 17,7,1 2 5 6 9 13 17
259,7,1 2 5 6 7 13 17,7,1 2 5 6 9 13 17,7,1 2 5 6 9 13 17
260,7,1 2 3 5 6 13 17,7,1 2 5 6 9 13 17,7,1 2 5 6 9 13 17
261,7,1 2 3 5 6 13 17,6,1 2 6 9 13 17,6,1 2 6 9 13 17
262,7,1 2 3 5 6 13 17,6,1 2 6 9 13 17,6,1 2 6 9 13 17
263,6,1 2 3 6 13 17,6,1 2 6 9 13 17,6,1 2 3 6 13 17
264,6,1 2 3 6 13 17,6,1 2 3 6 13 17,6,1 2 3 6 13 17
265,6,1 2 3 6 13 17,6,1 2 6 9 13 17,6,1 2 3 6 13 17
266,6,1 2 3 6 13 17,6,1 2 6 9 13 17,6,1 2 3 6 13 17
267,6,1 2 3 6 13 17,6,1 2 3 6 13 17,6,1 2 3 6 13 17
268,6,1 2 3 6 13 17,6,1 2 3 6 13 17,6,1 2 3 6 13 17
269,6,1 2 3 6 13 17,6,1 2 6 9 13 17,6,1 2 3 6 13 17
270,6,1 2 3 6 13 17,6,1 2 3 6 13 17,6,1 2 3 6 13 17
271,6,1 2 3 6 8 13,6,1 2 6 9 13 17,6,1 2 3 6 13 17
272,6,1 2 3 6 8 13,6,1 2 6 9 11 13,6,1 2 3 6 8 13
273,6,1 2 3 6 8 13,6,1 2 3 6 8 13,6,1 2 3 6 8 13
274,6,1 2 3 6 8 13,6,1 2 3 6 8 13,6,1 2 3 6 8 13
275,6,1 2 3 6 8 13,6,1 2 6 9 11 13,6,1 2 3 6 8 13
276,6,1 2 3 6 8 13,6,1 2 3 6 8 13,6,1 2 3 6 8 13
277,6,1 2 3 6 8 13,6,1 2 3 6 8 13,6,1 2 3 6 8 13
278,6,1 2 3 6 8 13,6,1 2 6 9 13 17,6,1 2 3 6 8 13
279,6,1 2 3 6 8 13,6,1 2 3 6 8 13,6,1 2 3 6 8 13
280,6,1 2 3 6 8 13,6,1 2 3 6 8 13,6,1 2 3 6 8 13
281,6,1 2 3 6 8 13,6,1 2 3 6 8 13,6,1 2 3 6 8 13
282,6,1 2 3 4 8 13,6,1 2 3 6 8 13,6,1 2 3 4 8 13
283,6,1 2 3 4 8 13,6,1 2 4 9 11 13,6,1 2 4 5 11 13
284,6,1 2 3 4 8 13,6,1 2 6 9 11 13,6,1 2 4 5 11 13
285,6,1 2 3 4 8 13,6,1 2 3 6 8 13,6,1 2 3 4 8 13
286,6,1 2 3 4 8 13,6,1 2 3 6 11 13,6,1 2 3 4 8 13
287,6,1 2 3 4 8 13,6,1 2 3 6 8 13,6,1 2 3 4 8 13
288,6,1 2 3 4 13 14,6,1 2 3 6 8 13,6,1 2 3 4 8 13
289,6,1 2 3 4 13 14,6,1 2 3 6 13 14,6,1 2 3 4 8 13
290,6,1 2 3 4 13 14,6,1 2 3 4 13 14,6,1 2 3 4 8 13
291,6,1 2 3 4 13 14,6,1 2 3 6 13 17,6,1 2 3 4 8 13
292,6,1 2 3 4 13 14,6,1 2 3 6 13 14,6,1 2 3 4 11 13
293,6,1 2 3 4 13 14,6,1 2 3 6 8 13,6,1 2 3 4 11 13
294,6,1 2 3 4 13 14,6,1 2 3 6 11 13,6,1 2 3 4 11 13
295,6,1 2 3 4 13 14,6,1 2 6 9 11 13,6,1 2 3 4 11 13
296,6,1 2 3 4 13 14,6,1 2 3 6 13 14,6,1 2 3 4 11 13
297,6,1 2 3 4 13 14,6,1 2 3 6 13 14,6,1 2 3 4 11 13
298,6,1 2 3 4 13 14,6,1 2 3 6 13 14,6,1 2 3 4 11 13
299,6,1 2 3 4 13 14,6,1 2 3 6 13 14,6,1 2 3 4 11 13
300,6,1 2 3 4 13 14,6,1 2 3 6 8 13,6,1 2 3 4 11 13
301,5,1 2 3 6 14,5,1 2 3 6 17,5,1 2 3 6 11
302,5,1 2 3 6 14,5,1 2 3 6 17,5,1 2 3 6 11
303,5,1 2 3 6 14,5,1 2 3 6 8,5,1 2 3 6 11
304,5,1 2 3 6 14,5,1 2 3 6 11,5,1 2 3 6 11
305,5,1 2 3 6 14,5,1 2 3 6 8,5,1 2 3 6 11
306,5,1 2 3 6 14,5,1 2 3 6 14,5,1 2 3 6 11
307,5,1 2 3 6 14,5,1 2 3 6 11,5,1 2 3 6 11
308,5,1 2 3 6 14,5,1 2 3 6 14,5,1 2 3 6 11
309,5,1 2 3 6 14,5,1 2 3 6 14,5,1 2 3 6 11
310,5,1 2 3 6 14,5,1 2 3 6 8,5,1 2 3 6 11
311,5,1 2 3 6 14,5,1 2 3 6 11,5,1 2 3 6 11
312,5,1 2 3 6 12,5,1 2 3 6 12,5,1 2 3 6 11
313,5,1 2 3 6 12,5,1 2 3 6 14,5,1 2 3 6 11
314,5,1 2 3 6 12,5,1 2 3 6 11,5,1 2 3 6 11
315,5,1 2 3 6 12,5,1 2 3 6 14,5,1 2 3 6 11
316,5,1 2 3 6 12,5,1 2 3 6 12,5,1 2 3 6 11
317,5,1 2 3 6 12,5,1 2 3 6 12,5,1 2 3 6 11
318,5,1 2 3 6 12,5,1 2 3 6 14,5,1 2 3 6 11
319,5,1 2 3 6 8,5,1 2 3 6 12,5,1 2 3 6 11
320,5,1 2 3 6 8,5,1 2 5 6 11,5,1 2 3 6 11
321,5,1 3 6 8 16,5,1 5 6 11 16,5,1 3 6 11 16
322,5,1 3 6 8 16,5,1 2 5 6 11,5,1 3 6 11 16
323,5,1 3 6 8 16,5,1 6 9 16 18,5,1 3 6 11 16
324,5,1 3 6 8 16,5,1 3 6 8 16,5,1 3 6 11 16
325,5,1 2 3 6 14,5,1 3 6 14 16,5,1 3 6 11 16
326,5,1 3 6 8 19,5,1 6 7 11 19,5,1 3 6 11 19
327,5,1 3 6 8 19,5,1 6 9 11 16,5,1 3 6 11 19
328,5,1 3 6 8 19,5,1 3 6 14 19,5,1 3 6 11 19
329,5,1 3 6 8 19,5,1 3 6 8 19,5,1 3 6 11 19
330,4,1 3 6 19,4,1 3 6 19,4,1 3 6 19
331,4,1 3 6 19,4,1 3 6 19,4,1 3 6 19
332,4,1 3 4 19,4,1 3 4 19,4,1 3 6 19
333,4,1 3 4 19,4,1 3 6 19,4,1 3 6 19
334,4,1 3 4 19,4,1 3 4 19,4,1 3 6 19
335,4,1 3 4 19,4,1 3 4 19,4,1 3 6 19
336,4,1 3 4 19,4,1 3 4 19,4,1 3 6 19
337,4,1 3 4 19,4,1 3 4 19,4,1 3 6 19
338,4,1 3 4 19,4,1 3 6 19,4,1 3 6 19
339,4,1 3 4 19,4,1 3 6 19,4,1 3 6 19
340,4,1 3 4 19,4,1 3 6 19,4,1 3 6 19
341,3,3 4 19,3,3 4 19,3,3 4 19
342,3,3 4 19,3,3 4 19,3,3 4 19
343,3,3 4 19,3,3 4 19,3,3 4 19
344,3,3 4 19,3,3 4 19,3,3 4 19
345,3,3 4 14,3,4 13 14,3,1 13 14
346,3,3 4 14,3,4 13 14,3,1 13 14
347,3,3 4 14,3,1 13 14,3,1 13 14
348,3,3 4 14,3,3 4 14,3,1 13 14
349,3,3 4 14,3,4 13 14,3,3 4 14
350,3,3 4 10,3,3 4 10,3,3 4 14
351,3,3 4 10,3,1 13 19,3,3 4 14
352,3,3 4 10,3,1 13 19,3,3 4 14
353,3,3 4 10,3,3 4 14,3,3 4 14
354,3,3 4 10,3,3 4 19,3,3 4 14
355,3,3 4 10,3,3 4 19,3,3 4 14
356,3,3 4 10,3,4 13 19,3,3 4 14
357,3,3 4 10,3,3 4 10,3,3 4 14
358,3,3 4 10,3,4 12 13,3,3 4 14
359,3,3 4 14,3,4 13 14,3,3 4 14
360,3,3 4 10,3,1 12 13,3,3 4 14
361,3,3 4 10,3,3 4 12,3,3 4 14
362,3,3 4 14,3,3 4 14,3,3 4 14
363,3,3 4 14,3,4 12 13,3,3 4 14
364,3,3 4 14,3,1 10 13,3,1 13 14
365,3,3 4 14,3,3 4 10,3,1 13 14
366,3,3 4 14,3,4 12 13,3,1 13 14
367,3,3 4 14,3,3 4 16,3,1 13 14
368,3,3 4 14,3,1 12 13,3,1 13 14
369,3,3 4 14,3,3 4 14,3,1 13 14
370,3,3 4 14,3,1 13 19,3,1 13 14
371,3,3 4 14,3,4 13 14,3,1 13 14
372,3,3 4 14,3,4 10 13,3,1 13 14
373,3,3 4 12,3,1 12 13,3,1 13 14
374,3,3 4 12,3,1 13 14,3,1 13 14
375,3,3 4 12,3,4 10 13,3,1 13 14
376,3,3 4 12,3,4 10 13,3,1 13 14
377,3,3 4 12,3,3 4 19,3,1 13 14
378,3,3 4 8,3,4 8 13,3,1 8 13
379,3,3 4 8,3,4 13 16,3,1 8 13
380,3,3 4 8,3,4 10 18,3,1 8 13
381,3,3 4 8,3,1 12 13,3,1 8 13
382,3,3 4 8,3,1 10 13,3,1 8 13
383,3,3 4 8,3,3 4 14,3,1 8 13
384,3,3 4 8,3,3 4 8,3,1 8 13
385,3,3 4 8,3,7 8 13,3,3 4 8
386,3,3 4 8,3,1 8 13,3,3 4 8
387,3,3 4 8,3,1 12 13,3,3 4 8
388,3,3 4 8,3,3 4 12,3,3 4 8
389,3,3 4 8,3,7 12 13,3,3 4 8
390,3,3 4 8,3,1 8 13,3,3 4 8
391,3,3 4 8,3,4 12 13,3,3 4 8
392,3,3 4 8,3,4 12 13,3,3 4 8
393,3,3 4 8,3,4 12 13,3,3 4 8
394,3,3 4 8,3,7 13 16,3,3 4 8
395,3,4 8 9,3,4 8 9,3,3 4 8
396,3,4 8 9,3,1 8 13,3,3 4 8
397,3,4 8 9,3,4 8 9,3,7 13 14
398,3,4 8 9,3,4 13 16,3,7 13 14
399,3,4 8 9,3,7 13 14,3,7 13 14
400,3,4 8 9,3,7 8 13,3,7 13 14
