dc, Greedy, Greedy Opened, R. Greedy, Xpress, Xpress Opened
350,5,1 11 13 17 18,4,4,11 16 17 18
351,5,1 11 13 17 18,4,4,11 16 17 18
352,4,1 11 17 18,4,4,11 16 17 18
353,4,1 11 17 18,4,4,11 16 17 18
354,4,1 11 17 18,4,4,11 16 17 18
355,4,1 11 17 18,4,4,11 16 17 18
356,4,1 11 17 18,4,4,6 11 17 18
357,4,1 11 17 18,4,4,6 11 17 18
358,4,1 11 17 18,4,4,6 11 17 18
359,4,6 11 17 18,4,4,6 11 17 18
360,5,6 8 11 18 20,4,4,6 11 17 18
361,5,6 8 11 18 20,4,4,6 11 17 18
362,5,6 8 11 18 20,4,4,6 11 17 18
363,5,6 8 11 18 20,4,4,6 11 17 18
364,5,6 8 11 18 20,4,4,6 11 17 18
365,5,6 8 11 18 20,4,4,6 11 17 18
366,5,6 8 11 18 20,4,4,6 11 17 18
367,5,6 8 11 18 20,4,4,6 11 17 18
368,5,6 8 11 18 20,4,4,6 11 17 18
369,5,6 8 11 18 20,4,4,6 11 17 18
370,5,6 8 11 18 20,4,4,6 11 17 18
371,5,6 8 11 18 20,4,4,6 11 17 18
372,4,1 8 11 18,4,4,6 11 17 18
373,4,1 8 11 18,4,4,6 11 17 18
374,4,1 8 11 18,4,4,6 11 17 18
375,5,6 8 11 18 20,4,4,6 11 17 18
376,5,6 8 11 18 20,4,4,6 11 17 18
377,4,6 8 11 18,4,4,6 11 17 18
378,4,6 8 11 18,4,4,6 11 17 18
379,4,6 8 11 18,4,4,6 11 17 18
380,4,1 8 11 18,4,4,6 11 17 18
381,4,1 8 11 18,4,4,6 11 17 18
382,4,1 8 11 18,4,4,6 11 17 18
383,4,1 8 11 18,4,4,6 11 17 18
384,4,1 8 11 18,4,4,6 11 17 18
385,4,1 8 11 18,4,4,6 11 17 18
386,4,1 8 11 18,4,4,6 11 17 18
387,4,1 8 11 18,4,4,6 11 17 18
388,4,1 8 11 18,4,4,6 11 17 18
389,4,1 8 11 18,4,4,6 11 17 18
390,4,1 8 11 18,4,4,6 11 17 18
391,4,1 8 11 18,4,4,6 11 17 18
392,4,1 8 11 18,4,4,1 11 17 18
393,4,1 8 11 18,4,4,1 11 17 18
394,4,1 8 11 18,4,4,1 11 17 18
395,4,1 8 11 18,4,4,1 11 17 18
396,4,1 8 11 18,4,4,1 11 17 18
397,4,1 8 11 18,4,4,1 11 17 18
398,4,1 8 11 18,4,4,1 11 17 18
399,4,1 8 11 18,4,4,1 8 11 18
400,4,1 8 11 18,4,4,1 8 11 18